,game_id,a_team_id,team_id,a_price,h_price,is_home,wl,season_year,player_1,player_2,player_3,player_4,player_5,player_6,team_id_a,player_1_a,player_2_a,player_3_a,player_4_a,player_5_a,player_6_a,season_num
5385,21000115,1610612755,1610612760,4.5,1.2,t,1,2010,Russell Westbrook,Kevin Durant,Thabo Sefolosha,Nenad Krstic,Serge Ibaka,James Harden,1610612755,Evan Turner,Elton Brand,Jrue Holiday,Andres Nocioni,Thaddeus Young,Jodie Meeks,0.3333333333333333
298,21300556,1610612745,1610612738,1.3846153846153846,3.2,t,0,2013,Avery Bradley,Jeff Green,Jordan Crawford,Brandon Bass,Jerryd Bayless,Jared Sullinger,1610612745,Chandler Parsons,James Harden,Dwight Howard,Terrence Jones,Jeremy Lin,Omri Casspi,0.6666666666666666
4768,20700058,1610612743,1610612738,3.4,1.3571428571428572,t,1,2007,Kevin Garnett,Rajon Rondo,Ray Allen,Paul Pierce,Kendrick Perkins,Eddie House,1610612743,Allen Iverson,Carmelo Anthony,Marcus Camby,Kenyon Martin,Eduardo Najera,JR Smith,0.0
7869,21100900,1610612763,1610612740,1.4761904761904763,2.75,t,1,2011,Greivis Vasquez,Al-Farouq Aminu,Eric Gordon,Jason Smith,Carl Landry,Marco Belinelli,1610612763,Rudy Gay,Mike Conley,Marc Gasol,O.J. Mayo,Tony Allen,Marreese Speights,0.4444444444444444
6710,21400599,1610612739,1610612746,3.8,1.2777777777777777,t,0,2014,Blake Griffin,Chris Paul,Matt Barnes,DeAndre Jordan,JJ Redick,Jamal Crawford,1610612739,LeBron James,Kyrie Irving,Tristan Thompson,JR Smith,Shawn Marion,Timofey Mozgov,0.7777777777777778
8146,21600731,1610612750,1610612739,3.5,1.3333333333333333,t,1,2016,Tristan Thompson,LeBron James,Kyrie Irving,Richard Jefferson,Iman Shumpert,Kyle Korver,1610612750,Karl-Anthony Towns,Ricky Rubio,Zach LaVine,Andrew Wiggins,Shabazz Muhammad,Gorgui Dieng,1.0
8248,21601132,1610612758,1610612740,6.5,1.1111111111111112,t,1,2016,DeMarcus Cousins,Anthony Davis,Jrue Holiday,Tim Frazier,Solomon Hill,Jordan Crawford,1610612758,Skal Labissiere,Willie Cauley-Stein,Garrett Temple,Darren Collison,Buddy Hield,Ben McLemore,1.0
5918,21600209,1610612740,1610612737,3.9,1.263157894736842,t,0,2016,Kyle Korver,Dennis Schroder,Thabo Sefolosha,Paul Millsap,Dwight Howard,Kent Bazemore,1610612740,Tim Frazier,Terrence Jones,Jrue Holiday,Solomon Hill,Dante Cunningham,E'Twaun Moore,1.0
2341,21300523,1610612744,1610612751,1.3846153846153846,3.2,t,1,2013,Joe Johnson,Shaun Livingston,Paul Pierce,Mirza Teletovic,Andray Blatche,Alan Anderson,1610612744,Stephen Curry,Klay Thompson,David Lee,Andrew Bogut,Andre Iguodala,Harrison Barnes,0.6666666666666666
1578,21100810,1610612747,1610612746,2.35,1.6451612903225805,t,0,2011,Chris Paul,DeAndre Jordan,Blake Griffin,Caron Butler,Randy Foye,Nick Young,1610612747,Andrew Bynum,Ramon Sessions,Pau Gasol,Kobe Bryant,Matt Barnes,Metta World Peace,0.4444444444444444
